cimento,escoria,cinzas,agua,super_plastificante,agg_graudo,agg_miudo,idade,fck
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,61.46
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28,22.35
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,14.2
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28,37.36
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.58
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.32
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90,29.23
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,28.63
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.16
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.58
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3,41.64
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.86
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28,56.83
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28,26.86
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,22.44
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.42
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,42.22
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.8
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,13.46
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14
249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.62
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.42
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
